AUC,SIppc,threshold
0.79766,0.958490566037736,0.47
0.84516,0.961538461538462,0.52
0.8415,0.965250965250965,0.49
0.81428,0.984496124031008,0.52
0.84752,0.980694980694981,0.48
0.81862,0.938461538461538,0.48
0.7817,0.961240310077519,0.51
0.83196,0.984615384615385,0.47
0.796,0.942084942084942,0.5
0.8563,0.980842911877395,0.5
0.80714,0.973384030418251,0.48
0.84684,0.961832061068702,0.47
0.8786,0.976744186046512,0.47
0.83896,0.980694980694981,0.51
0.88164,0.984496124031008,0.53
0.80546,0.948616600790514,0.58
0.79322,0.950943396226415,0.47
0.92004,0.992248062015504,0.56
0.80846,0.962121212121212,0.45
0.83874,0.973384030418251,0.49
0.8871,0.976923076923077,0.46
0.89416,0.984615384615385,0.48
0.88492,0.972549019607843,0.51
0.86646,0.980842911877395,0.45
0.8538,0.969465648854962,0.48
0.848,0.961240310077519,0.52
0.80678,0.961832061068702,0.5
0.85548,0.96875,0.54
0.86038,0.96551724137931,0.51
0.83248,0.956862745098039,0.54
